kind,label_convention,dataset,model,method,seed,status,metric_name,metric_value,expected_rows,actual_rows,path
training,true_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,0,complete,cosine_auroc,0.7029706784265628,,,runs/baseline_comparison_nq_memmap/nq_memmap/contrastive_logprob_recon/seed_0
training,true_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,0,complete,mahalanobis_auroc,0.7318333729791193,,,runs/baseline_comparison_nq_memmap/nq_memmap/contrastive_logprob_recon/seed_0
training,true_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,0,complete,knn_auroc,0.7525901913513703,,,runs/baseline_comparison_nq_memmap/nq_memmap/contrastive_logprob_recon/seed_0
training,true_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,1,complete,cosine_auroc,0.7058126626953398,,,runs/baseline_comparison_nq_memmap/nq_memmap/contrastive_logprob_recon/seed_1
training,true_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,1,complete,mahalanobis_auroc,0.7358066680275575,,,runs/baseline_comparison_nq_memmap/nq_memmap/contrastive_logprob_recon/seed_1
training,true_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,1,complete,knn_auroc,0.7581420072689564,,,runs/baseline_comparison_nq_memmap/nq_memmap/contrastive_logprob_recon/seed_1
training,true_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,2,complete,cosine_auroc,0.698660253609313,,,runs/baseline_comparison_nq_memmap/nq_memmap/contrastive_logprob_recon/seed_2
training,true_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,2,complete,mahalanobis_auroc,0.7296525735738623,,,runs/baseline_comparison_nq_memmap/nq_memmap/contrastive_logprob_recon/seed_2
training,true_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,2,complete,knn_auroc,0.7544070087001411,,,runs/baseline_comparison_nq_memmap/nq_memmap/contrastive_logprob_recon/seed_2
training,true_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,3,complete,cosine_auroc,0.7081122588706743,,,runs/baseline_comparison_nq_memmap/nq_memmap/contrastive_logprob_recon/seed_3
training,true_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,3,complete,mahalanobis_auroc,0.7370438414910865,,,runs/baseline_comparison_nq_memmap/nq_memmap/contrastive_logprob_recon/seed_3
training,true_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,3,complete,knn_auroc,0.7574804006417557,,,runs/baseline_comparison_nq_memmap/nq_memmap/contrastive_logprob_recon/seed_3
training,true_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,4,complete,cosine_auroc,0.6920422191067945,,,runs/baseline_comparison_nq_memmap/nq_memmap/contrastive_logprob_recon/seed_4
training,true_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,4,complete,mahalanobis_auroc,0.7184710560456449,,,runs/baseline_comparison_nq_memmap/nq_memmap/contrastive_logprob_recon/seed_4
training,true_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,4,complete,knn_auroc,0.750800366878167,,,runs/baseline_comparison_nq_memmap/nq_memmap/contrastive_logprob_recon/seed_4
training,true_class,nq,Qwen3-8B,contrastive_logprob_recon,0,complete,cosine_auroc,0.8072992615975472,,,runs/baseline_comparison_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon/seed_0
training,true_class,nq,Qwen3-8B,contrastive_logprob_recon,0,complete,mahalanobis_auroc,0.8182025293547206,,,runs/baseline_comparison_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon/seed_0
training,true_class,nq,Qwen3-8B,contrastive_logprob_recon,0,complete,knn_auroc,0.8384803691932186,,,runs/baseline_comparison_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon/seed_0
training,true_class,nq,Qwen3-8B,contrastive_logprob_recon,1,complete,cosine_auroc,0.8068824537927908,,,runs/baseline_comparison_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon/seed_1
training,true_class,nq,Qwen3-8B,contrastive_logprob_recon,1,complete,mahalanobis_auroc,0.8223888252266016,,,runs/baseline_comparison_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon/seed_1
training,true_class,nq,Qwen3-8B,contrastive_logprob_recon,1,complete,knn_auroc,0.8397984588121017,,,runs/baseline_comparison_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon/seed_1
training,true_class,nq,Qwen3-8B,contrastive_logprob_recon,2,complete,cosine_auroc,0.7540727848126607,,,runs/baseline_comparison_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon/seed_2
training,true_class,nq,Qwen3-8B,contrastive_logprob_recon,2,complete,mahalanobis_auroc,0.7590054108940187,,,runs/baseline_comparison_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon/seed_2
training,true_class,nq,Qwen3-8B,contrastive_logprob_recon,2,complete,knn_auroc,0.7884650341894509,,,runs/baseline_comparison_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon/seed_2
training,true_class,nq,Qwen3-8B,contrastive_logprob_recon,3,complete,cosine_auroc,0.7964416384991075,,,runs/baseline_comparison_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon/seed_3
training,true_class,nq,Qwen3-8B,contrastive_logprob_recon,3,complete,mahalanobis_auroc,0.8096307427186759,,,runs/baseline_comparison_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon/seed_3
training,true_class,nq,Qwen3-8B,contrastive_logprob_recon,3,complete,knn_auroc,0.8307836387121159,,,runs/baseline_comparison_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon/seed_3
training,true_class,nq,Qwen3-8B,contrastive_logprob_recon,4,complete,cosine_auroc,0.7812984223764531,,,runs/baseline_comparison_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon/seed_4
training,true_class,nq,Qwen3-8B,contrastive_logprob_recon,4,complete,mahalanobis_auroc,0.7868818852365154,,,runs/baseline_comparison_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon/seed_4
training,true_class,nq,Qwen3-8B,contrastive_logprob_recon,4,complete,knn_auroc,0.8210160821347607,,,runs/baseline_comparison_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon/seed_4
training,true_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,0,complete,cosine_auroc,0.7274926961780936,,,runs/baseline_comparison_sciq_memmap/sciq_memmap/contrastive_logprob_recon/seed_0
training,true_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,0,complete,mahalanobis_auroc,0.7528531889084416,,,runs/baseline_comparison_sciq_memmap/sciq_memmap/contrastive_logprob_recon/seed_0
training,true_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,0,complete,knn_auroc,0.7646845261485367,,,runs/baseline_comparison_sciq_memmap/sciq_memmap/contrastive_logprob_recon/seed_0
training,true_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,1,complete,cosine_auroc,0.7313261348687021,,,runs/baseline_comparison_sciq_memmap/sciq_memmap/contrastive_logprob_recon/seed_1
training,true_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,1,complete,mahalanobis_auroc,0.7486075754728264,,,runs/baseline_comparison_sciq_memmap/sciq_memmap/contrastive_logprob_recon/seed_1
training,true_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,1,complete,knn_auroc,0.7707027045497258,,,runs/baseline_comparison_sciq_memmap/sciq_memmap/contrastive_logprob_recon/seed_1
training,true_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,2,complete,cosine_auroc,0.7272641847909654,,,runs/baseline_comparison_sciq_memmap/sciq_memmap/contrastive_logprob_recon/seed_2
training,true_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,2,complete,mahalanobis_auroc,0.751460764381268,,,runs/baseline_comparison_sciq_memmap/sciq_memmap/contrastive_logprob_recon/seed_2
training,true_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,2,complete,knn_auroc,0.768930139584152,,,runs/baseline_comparison_sciq_memmap/sciq_memmap/contrastive_logprob_recon/seed_2
training,true_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,3,complete,cosine_auroc,0.7358387008593736,,,runs/baseline_comparison_sciq_memmap/sciq_memmap/contrastive_logprob_recon/seed_3
training,true_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,3,complete,mahalanobis_auroc,0.7470955562009876,,,runs/baseline_comparison_sciq_memmap/sciq_memmap/contrastive_logprob_recon/seed_3
training,true_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,3,complete,knn_auroc,0.7576668773812167,,,runs/baseline_comparison_sciq_memmap/sciq_memmap/contrastive_logprob_recon/seed_3
training,true_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,4,complete,cosine_auroc,0.741455382617758,,,runs/baseline_comparison_sciq_memmap/sciq_memmap/contrastive_logprob_recon/seed_4
training,true_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,4,complete,mahalanobis_auroc,0.7578163708120483,,,runs/baseline_comparison_sciq_memmap/sciq_memmap/contrastive_logprob_recon/seed_4
training,true_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon,4,complete,knn_auroc,0.7811971433940988,,,runs/baseline_comparison_sciq_memmap/sciq_memmap/contrastive_logprob_recon/seed_4
training,true_class,sciq,Qwen3-8B,contrastive_logprob_recon,0,complete,cosine_auroc,0.8098279971473613,,,runs/baseline_comparison_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon/seed_0
training,true_class,sciq,Qwen3-8B,contrastive_logprob_recon,0,complete,mahalanobis_auroc,0.8133914495908715,,,runs/baseline_comparison_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon/seed_0
training,true_class,sciq,Qwen3-8B,contrastive_logprob_recon,0,complete,knn_auroc,0.8125234591997599,,,runs/baseline_comparison_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon/seed_0
training,true_class,sciq,Qwen3-8B,contrastive_logprob_recon,1,complete,cosine_auroc,0.8068346032580137,,,runs/baseline_comparison_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon/seed_1
training,true_class,sciq,Qwen3-8B,contrastive_logprob_recon,1,complete,mahalanobis_auroc,0.8148506118159298,,,runs/baseline_comparison_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon/seed_1
training,true_class,sciq,Qwen3-8B,contrastive_logprob_recon,1,complete,knn_auroc,0.8110314540950379,,,runs/baseline_comparison_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon/seed_1
training,true_class,sciq,Qwen3-8B,contrastive_logprob_recon,2,complete,cosine_auroc,0.809234479393439,,,runs/baseline_comparison_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon/seed_2
training,true_class,sciq,Qwen3-8B,contrastive_logprob_recon,2,complete,mahalanobis_auroc,0.8143861196606861,,,runs/baseline_comparison_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon/seed_2
training,true_class,sciq,Qwen3-8B,contrastive_logprob_recon,2,complete,knn_auroc,0.811341115531867,,,runs/baseline_comparison_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon/seed_2
training,true_class,sciq,Qwen3-8B,contrastive_logprob_recon,3,complete,cosine_auroc,0.8216584715862174,,,runs/baseline_comparison_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon/seed_3
training,true_class,sciq,Qwen3-8B,contrastive_logprob_recon,3,complete,mahalanobis_auroc,0.8198802642444261,,,runs/baseline_comparison_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon/seed_3
training,true_class,sciq,Qwen3-8B,contrastive_logprob_recon,3,complete,knn_auroc,0.8180176037834997,,,runs/baseline_comparison_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon/seed_3
training,true_class,sciq,Qwen3-8B,contrastive_logprob_recon,4,complete,cosine_auroc,0.8216936603858569,,,runs/baseline_comparison_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon/seed_4
training,true_class,sciq,Qwen3-8B,contrastive_logprob_recon,4,complete,mahalanobis_auroc,0.8273074468883718,,,runs/baseline_comparison_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon/seed_4
training,true_class,sciq,Qwen3-8B,contrastive_logprob_recon,4,complete,knn_auroc,0.8275654980857293,,,runs/baseline_comparison_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon/seed_4
ablation,halu_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_b5,0,complete,cosine_auroc,0.7387654808359019,,,runs/aug_grid_nq_memmap/nq_memmap/contrastive_logprob_recon_b5/seed_0
ablation,halu_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_b5,0,complete,mahalanobis_auroc,0.7399985772505169,,,runs/aug_grid_nq_memmap/nq_memmap/contrastive_logprob_recon_b5/seed_0
ablation,halu_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_b5,0,complete,knn_auroc,0.7561188068924057,,,runs/aug_grid_nq_memmap/nq_memmap/contrastive_logprob_recon_b5/seed_0
ablation,two_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_b6,0,complete,cosine_auroc,0.3880830390828721,,,runs/aug_grid_nq_memmap/nq_memmap/contrastive_logprob_recon_b6/seed_0
ablation,two_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_b6,0,complete,mahalanobis_auroc,0.48177629429432467,,,runs/aug_grid_nq_memmap/nq_memmap/contrastive_logprob_recon_b6/seed_0
ablation,two_class,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_b6,0,complete,knn_auroc,0.405644294633985,,,runs/aug_grid_nq_memmap/nq_memmap/contrastive_logprob_recon_b6/seed_0
ablation,halu_class,nq,Qwen3-8B,contrastive_logprob_recon_b5,0,complete,cosine_auroc,0.840573617227095,,,runs/aug_grid_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon_b5/seed_0
ablation,halu_class,nq,Qwen3-8B,contrastive_logprob_recon_b5,0,complete,mahalanobis_auroc,0.8469890941296965,,,runs/aug_grid_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon_b5/seed_0
ablation,halu_class,nq,Qwen3-8B,contrastive_logprob_recon_b5,0,complete,knn_auroc,0.8495872361518508,,,runs/aug_grid_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon_b5/seed_0
ablation,two_class,nq,Qwen3-8B,contrastive_logprob_recon_b6,0,complete,cosine_auroc,0.2541614715837976,,,runs/aug_grid_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon_b6/seed_0
ablation,two_class,nq,Qwen3-8B,contrastive_logprob_recon_b6,0,complete,mahalanobis_auroc,0.2318096025151008,,,runs/aug_grid_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon_b6/seed_0
ablation,two_class,nq,Qwen3-8B,contrastive_logprob_recon_b6,0,complete,knn_auroc,0.2112787150948488,,,runs/aug_grid_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon_b6/seed_0
ablation,halu_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_b5,0,complete,cosine_auroc,0.7151808443388974,,,runs/aug_grid_sciq_memmap/sciq_memmap/contrastive_logprob_recon_b5/seed_0
ablation,halu_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_b5,0,complete,mahalanobis_auroc,0.7178332849259367,,,runs/aug_grid_sciq_memmap/sciq_memmap/contrastive_logprob_recon_b5/seed_0
ablation,halu_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_b5,0,complete,knn_auroc,0.753092378397772,,,runs/aug_grid_sciq_memmap/sciq_memmap/contrastive_logprob_recon_b5/seed_0
ablation,two_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_b6,0,complete,cosine_auroc,0.5363546667577865,,,runs/aug_grid_sciq_memmap/sciq_memmap/contrastive_logprob_recon_b6/seed_0
ablation,two_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_b6,0,complete,mahalanobis_auroc,0.5953127402572995,,,runs/aug_grid_sciq_memmap/sciq_memmap/contrastive_logprob_recon_b6/seed_0
ablation,two_class,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_b6,0,complete,knn_auroc,0.6004211443508568,,,runs/aug_grid_sciq_memmap/sciq_memmap/contrastive_logprob_recon_b6/seed_0
ablation,halu_class,sciq,Qwen3-8B,contrastive_logprob_recon_b5,0,complete,cosine_auroc,0.7959753396892124,,,runs/aug_grid_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon_b5/seed_0
ablation,halu_class,sciq,Qwen3-8B,contrastive_logprob_recon_b5,0,complete,mahalanobis_auroc,0.8044159597627806,,,runs/aug_grid_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon_b5/seed_0
ablation,halu_class,sciq,Qwen3-8B,contrastive_logprob_recon_b5,0,complete,knn_auroc,0.8195143007281736,,,runs/aug_grid_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon_b5/seed_0
ablation,two_class,sciq,Qwen3-8B,contrastive_logprob_recon_b6,0,complete,cosine_auroc,0.6704381240147137,,,runs/aug_grid_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon_b6/seed_0
ablation,two_class,sciq,Qwen3-8B,contrastive_logprob_recon_b6,0,complete,mahalanobis_auroc,0.7183113129644921,,,runs/aug_grid_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon_b6/seed_0
ablation,two_class,sciq,Qwen3-8B,contrastive_logprob_recon_b6,0,complete,knn_auroc,0.7442524960588545,,,runs/aug_grid_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon_b6/seed_0
ablation,unlabeled,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_c0,0,complete,cosine_auroc,0.5105698196032384,,,runs/sharedtrunk_grid_nq_llama_memmap/nq_memmap/contrastive_logprob_recon_c0/seed_0
ablation,unlabeled,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_c0,0,complete,mahalanobis_auroc,0.5225467834333475,,,runs/sharedtrunk_grid_nq_llama_memmap/nq_memmap/contrastive_logprob_recon_c0/seed_0
ablation,unlabeled,nq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_c0,0,complete,knn_auroc,0.5207701742221412,,,runs/sharedtrunk_grid_nq_llama_memmap/nq_memmap/contrastive_logprob_recon_c0/seed_0
ablation,unlabeled,nq,Qwen3-8B,contrastive_logprob_recon_c0,0,complete,cosine_auroc,0.5179894008297719,,,runs/sharedtrunk_grid_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon_c0/seed_0
ablation,unlabeled,nq,Qwen3-8B,contrastive_logprob_recon_c0,0,complete,mahalanobis_auroc,0.5187155112562132,,,runs/sharedtrunk_grid_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon_c0/seed_0
ablation,unlabeled,nq,Qwen3-8B,contrastive_logprob_recon_c0,0,complete,knn_auroc,0.5174534764813894,,,runs/sharedtrunk_grid_nq_qwen3_memmap/nq_qwen3_memmap/contrastive_logprob_recon_c0/seed_0
ablation,unlabeled,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_c0,0,complete,cosine_auroc,0.5262019271838854,,,runs/sharedtrunk_grid_sciq_llama_memmap/sciq_memmap/contrastive_logprob_recon_c0/seed_0
ablation,unlabeled,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_c0,0,complete,mahalanobis_auroc,0.5451085749431925,,,runs/sharedtrunk_grid_sciq_llama_memmap/sciq_memmap/contrastive_logprob_recon_c0/seed_0
ablation,unlabeled,sciq,Llama-3.1-8B-Instruct,contrastive_logprob_recon_c0,0,complete,knn_auroc,0.5281602911277784,,,runs/sharedtrunk_grid_sciq_llama_memmap/sciq_memmap/contrastive_logprob_recon_c0/seed_0
ablation,unlabeled,sciq,Qwen3-8B,contrastive_logprob_recon_c0,0,complete,cosine_auroc,0.5398102619923429,,,runs/sharedtrunk_grid_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon_c0/seed_0
ablation,unlabeled,sciq,Qwen3-8B,contrastive_logprob_recon_c0,0,complete,mahalanobis_auroc,0.5434558216350124,,,runs/sharedtrunk_grid_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon_c0/seed_0
ablation,unlabeled,sciq,Qwen3-8B,contrastive_logprob_recon_c0,0,complete,knn_auroc,0.5360427145109226,,,runs/sharedtrunk_grid_sciq_qwen3_memmap/sciq_qwen3_memmap/contrastive_logprob_recon_c0/seed_0
